message_id,action,message_type,reason,confidence,evidence_message_ids
msg_049,notify,personal,User usually responds to similar messages.,0.81,message_0154;message_0291;message_0153
msg_015,mute,scam,Suspicious or scam-like message detected.,0.62,message_0200;message_0086;message_0199
msg_051,mute,promotion,Promotional content not relevant to this user.,0.78,message_0257;message_0402;message_0158
msg_097,notify,personal,User usually responds to similar messages.,0.61,message_0359;message_0226;message_0054
msg_089,mute,scam,Suspicious or scam-like message detected.,0.56,none
msg_053,mute,scam,Suspicious or scam-like message detected.,0.65,message_0411;message_0161;message_0253
msg_059,digest,unknown,Useful but not immediately important.,0.56,message_0196;message_0214;message_0053
msg_024,mute,promotion,Promotional content not relevant to this user.,0.78,message_0257;message_0402;message_0158
msg_072,mute,scam,Suspicious or scam-like message detected.,0.62,message_0199;message_0085;message_0200
msg_036,mute,scam,Suspicious or scam-like message detected.,0.6,message_0283;message_0127;message_0128
msg_076,mute,scam,Suspicious or scam-like message detected.,0.79,message_0207;message_0159;message_0208
msg_055,notify,personal,User usually responds to similar messages.,0.55,message_0166;message_0165;message_0387
msg_102,notify,personal,User usually responds to similar messages.,0.55,message_0371;message_0230;message_0059
msg_080,notify,personal,User usually responds to similar messages.,0.55,message_0216;message_0130;message_0190
msg_093,mute,scam,Suspicious or scam-like message detected.,0.91,message_0398;message_0349;message_0347
msg_034,mute,scam,Suspicious or scam-like message detected.,0.58,message_0241;message_0039;message_0040
msg_035,mute,scam,Suspicious or scam-like message detected.,0.8,message_0281;message_0125;message_0126
msg_101,digest,unknown,Delivered during do-not-disturb hours.,0.55,message_0370;message_0229;message_0268
msg_041,notify,personal,User usually responds to similar messages.,0.71,message_0137;message_0138
msg_011,notify,personal,Family conversations are prioritized.,0.61,message_0123;message_0171;message_0077
msg_110,mute,scam,Suspicious or scam-like message detected.,0.83,message_0238;message_0381
msg_095,mute,scam,Suspicious or scam-like message detected.,0.85,message_0202;message_0184;message_0088
msg_074,mute,scam,Suspicious or scam-like message detected.,0.79,message_0204;message_0391;message_0203
msg_073,mute,scam,Suspicious or scam-like message detected.,0.83,message_0202;message_0184;message_0088
msg_054,mute,scam,Suspicious or scam-like message detected.,0.71,message_0391;message_0164;message_0163
msg_068,notify,personal,User usually responds to similar messages.,0.5,message_0191;message_0192
msg_100,notify,personal,User usually responds to similar messages.,0.69,message_0362;message_0228;message_0055
msg_062,digest,unknown,Delivered during do-not-disturb hours.,0.55,message_0043;message_0410;message_0098
msg_096,notify,personal,User usually responds to similar messages.,0.55,none
msg_043,mute,scam,Suspicious or scam-like message detected.,0.55,message_0098;message_0068;message_0030
msg_077,digest,unknown,Delivered during do-not-disturb hours.,0.55,message_0403;message_0051;message_0255
msg_081,notify,personal,User usually responds to similar messages.,0.55,message_0217
msg_025,notify,personal,User usually responds to similar messages.,0.81,message_0239;message_0004;message_0105
msg_084,mute,scam,Suspicious or scam-like message detected.,0.85,message_0220
msg_022,notify,personal,User usually responds to similar messages.,0.69,message_0100;message_0099;message_0151
