message_id,action,message_type,reason,confidence,evidence_message_ids
msg_002,notify,event,Upcoming event may require attention.,0.68,message_0003;message_0169;message_0059
msg_010,mute,scam,Possible scam or unsafe content.,0.8,message_0242;message_0011;message_0075
msg_078,mute,scam,Possible scam or unsafe content.,0.79,message_0220;message_0356;message_0389
msg_013,mute,promotion,Promotional message not relevant to this user.,0.61,message_0081
msg_018,mute,scam,Possible scam or unsafe content.,0.63,message_0026;message_0092;message_0076
msg_044,mute,scam,Possible scam or unsafe content.,0.73,message_0055;message_0362;message_0222
msg_032,mute,scam,Possible scam or unsafe content.,0.65,message_0119;message_0285;message_0286
msg_106,notify,urgent,Urgent personal communication.,0.61,message_0376;message_0234;message_0205
msg_006,notify,personal,User actively participates in this group.,0.61,message_0097;message_0067;message_0100
msg_109,notify,personal,User actively participates in this group.,0.55,message_0151;message_0030;message_0100
msg_108,mute,scam,Possible scam or unsafe content.,0.78,message_0094;message_0277;message_0093
msg_019,mute,scam,Possible scam or unsafe content.,0.74,message_0277;message_0276;message_0275
msg_088,mute,unknown,User has muted this group.,0.55,none
msg_056,mute,unknown,User has muted this group.,0.55,message_0217;message_0226;message_0240
msg_027,digest,unknown,Useful but not urgent.,0.7,message_0272;message_0033;message_0007
msg_050,notify,event,Upcoming event may require attention.,0.7,message_0279;message_0278;message_0155
msg_083,notify,personal,User frequently responds to similar messages.,0.55,none
msg_063,notify,personal,User frequently responds to similar messages.,0.61,message_0364;message_0254;message_0182
msg_033,mute,promotion,Promotional message not relevant to this user.,0.58,message_0372;message_0121;message_0373
msg_061,mute,unknown,User has muted this group.,0.6,message_0080;message_0193;message_0177
msg_020,mute,scam,Possible scam or unsafe content.,0.73,message_0114;message_0096
msg_017,mute,scam,Possible scam or unsafe content.,0.71,message_0319;message_0090;message_0089
msg_058,mute,scam,Possible scam or unsafe content.,0.55,message_0140;message_0058;message_0040
msg_026,mute,scam,Possible scam or unsafe content.,0.6,message_0032;message_0107;message_0261
msg_047,notify,personal,User actively participates in this group.,0.61,message_0271;message_0001;message_0099
msg_046,mute,scam,Possible scam or unsafe content.,0.77,message_0148;message_0407;message_0251
msg_042,notify,personal,User frequently responds to similar messages.,0.61,message_0140;message_0058;message_0217
msg_079,mute,scam,Possible scam or unsafe content.,0.62,message_0369;message_0412
msg_098,notify,personal,User frequently responds to similar messages.,0.55,message_0226;message_0217;message_0359
msg_037,notify,personal,User actively participates in this group.,0.55,message_0001;message_0020;message_0216
msg_007,mute,scam,Possible scam or unsafe content.,0.6,message_0277;message_0276;message_0275
msg_085,digest,unknown,Useful but not urgent.,0.5,none
msg_001,notify,personal,User frequently responds to similar messages.,0.55,message_0240;message_0139;message_0057
msg_021,mute,scam,Possible scam or unsafe content.,0.81,message_0100;message_0098;message_0068
msg_028,mute,promotion,Promotional message not relevant to this user.,0.72,message_0034;message_0402;message_0257
msg_012,notify,personal,User frequently responds to similar messages.,0.6,message_0079;message_0194;message_0178
msg_064,mute,scam,Possible scam or unsafe content.,0.85,message_0162;message_0019;message_0252
msg_103,notify,personal,User frequently responds to similar messages.,0.55,message_0065;message_0382;message_0231
msg_031,notify,personal,User frequently responds to similar messages.,0.55,message_0248;message_0036;message_0362
msg_057,notify,personal,User frequently responds to similar messages.,0.55,message_0169;message_0059;message_0003
msg_087,mute,scam,Possible scam or unsafe content.,0.65,message_0391
msg_067,notify,personal,User actively participates in this group.,0.63,message_0270;message_0237;message_0216
msg_039,notify,personal,User actively participates in this group.,0.69,message_0364;message_0037;message_0182
msg_082,mute,scam,Possible scam or unsafe content.,0.65,none
msg_066,mute,scam,Possible scam or unsafe content.,0.98,message_0402;message_0257;message_0052
msg_049,notify,personal,User frequently responds to similar messages.,0.81,message_0154;message_0291;message_0153
msg_015,mute,scam,Possible scam or unsafe content.,0.62,message_0221;message_0369;message_0265
msg_051,mute,scam,Possible scam or unsafe content.,0.98,message_0402;message_0257;message_0052
msg_097,notify,urgent,Urgent personal communication.,0.61,message_0359;message_0168;message_0171
msg_089,notify,urgent,Urgent personal communication.,0.56,message_0396;message_0299;message_0301
msg_053,mute,scam,Possible scam or unsafe content.,0.73,message_0161;message_0253;message_0411
msg_059,digest,unknown,Useful but not urgent.,0.56,message_0221;message_0214;message_0200
msg_024,mute,scam,Possible scam or unsafe content.,0.98,message_0402;message_0257;message_0052
msg_072,mute,scam,Possible scam or unsafe content.,0.62,message_0369
msg_036,mute,scam,Possible scam or unsafe content.,0.6,message_0283;message_0281;message_0126
msg_076,mute,scam,Possible scam or unsafe content.,0.79,message_0207;message_0286;message_0159
msg_055,notify,personal,User frequently responds to similar messages.,0.61,message_0166;message_0398;message_0349
msg_102,mute,scam,Possible scam or unsafe content.,0.67,message_0371;message_0230;message_0169
msg_080,notify,personal,User actively participates in this group.,0.55,message_0099;message_0216;message_0190
msg_093,mute,scam,Possible scam or unsafe content.,0.96,message_0398;message_0349;message_0348
msg_034,mute,scam,Possible scam or unsafe content.,0.58,message_0241;message_0039;message_0040
msg_035,mute,scam,Possible scam or unsafe content.,0.8,message_0281;message_0125;message_0283
msg_101,mute,scam,Possible scam or unsafe content.,0.67,message_0370;message_0229;message_0268
msg_041,notify,event,Upcoming event may require attention.,0.76,message_0239;message_0004;message_0028
msg_011,mute,unknown,User has muted this group.,0.61,message_0171;message_0123;message_0077
msg_110,mute,scam,Possible scam or unsafe content.,0.76,message_0238;message_0320;message_0218
msg_095,mute,scam,Possible scam or unsafe content.,0.85,message_0202;message_0184;message_0088
msg_074,mute,scam,Possible scam or unsafe content.,0.79,message_0204;message_0389;message_0203
msg_073,mute,scam,Possible scam or unsafe content.,0.91,message_0147;message_0407;message_0251
msg_054,mute,scam,Possible scam or unsafe content.,0.71,message_0389;message_0212;message_0164
msg_068,digest,unknown,Useful but not urgent.,0.5,message_0191
msg_100,notify,urgent,Urgent personal communication.,0.69,message_0362;message_0228;message_0117
msg_062,notify,personal,User actively participates in this group.,0.55,message_0043;message_0098;message_0068
msg_096,notify,personal,User frequently responds to similar messages.,0.55,none
msg_043,mute,scam,Possible scam or unsafe content.,0.55,message_0098;message_0068;message_0030
msg_077,notify,personal,User actively participates in this group.,0.55,message_0403;message_0364;message_0051
msg_081,notify,personal,User frequently responds to similar messages.,0.55,none
msg_025,notify,personal,User frequently responds to similar messages.,0.81,message_0239;message_0004;message_0217
msg_084,mute,scam,Possible scam or unsafe content.,0.85,message_0391
msg_022,notify,personal,User actively participates in this group.,0.69,message_0151;message_0098;message_0068
